all	35236	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	35237	3	3	0	4	4	0	0.0	0.0	5311	2624	
all	35234	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	35543	2	2	0	2	2	0	0.0	0.0	5311	2624	
all	35233	2	2	0	3	3	0	0.0	0.0	5311	2624	
all	35546	3	3	0	4	4	0	0.0	0.0	5311	2624	
all	35541	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	35548	18	12	6	168	154	14	0.0177961830217	0.000105772972443	297	459	
all	11800	1	1	0	2	2	0	0.0	0.0	5311	2624	
all	16079	2	1	1	2	1	1	0.00951834810431	0.0	670	2624	
all	35238	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	24028	2	1	1	3	2	1	0.0068822197268	0.0	1235	2624	
all	28995	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	11543	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	11540	1	0	1	1	0	1	0.0	0.0	5311	2624	
all	32238	1	0	1	1	0	1	0.0	0.0	5311	2624	
all	28990	3	3	0	3	3	0	0.0	0.0	5311	2624	
all	28993	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	11545	1	0	1	1	0	1	0.000300403838306	0.0	3847	2624	
all	32504	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	11548	27	2	25	167	2	165	0.0109626035486	0.000151150041015	554	353	
all	28999	2	1	1	3	1	2	0.00139188788835	0.0	2697	2624	
all	35545	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	3383	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	19398	1	0	1	1	0	1	9.97951273031e-07	0.0	5199	2624	
all	5982	1	1	0	3	3	0	0.0	0.0	5311	2624	
all	19396	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	19395	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	19394	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	19393	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	5987	1	1	0	2	2	0	0.0	0.0	5311	2624	
all	19391	1	1	0	25	25	0	0.0	0.0	5311	2624	
all	5985	1	1	0	3	3	0	0.0	0.0	5311	2624	
all	19713	1	0	1	1	0	1	0.0	0.0	5311	2624	
all	22265	1	0	1	1	0	1	0.0	0.0	5311	2624	
all	22264	1	0	1	1	0	1	0.00157297147756	0.0	2561	2624	
all	32232	1	1	0	2	2	0	0.0	0.0	5311	2624	
all	22269	1	0	1	1	0	1	0.0	0.0	5311	2624	
all	22268	1	0	1	1	0	1	0.0	0.0	5311	2624	
all	16071	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	25062	1	1	0	3	3	0	0.0	0.0	5311	2624	
all	25063	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	16070	6	5	1	8	7	1	0.0068822197268	3.62952734075e-05	1235	975	
all	25067	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	27595	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	32237	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	21092	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	35637	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	37731	1	1	0	2	2	0	0.0	0.0	5311	2624	
all	967	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	32235	1	1	0	1	1	0	0.0	0.0	5311	2624	
all	37730	1	1	0	3	3	0	0.0	0.0	5311	2624	
