409	Agents of the town of Galway
410	Agnace D'Albiac Parisien
411	Agnes Abbess of Sion
412	Agnes Asimus, widow
413	Agnes Awstyd
414	Agnes Barnes
415	Agnes Campbell, Lady of Dunnavaigh
418	Agnes Carter
419	Agnes Cockerell, Midwife
420	Agnes Cowty
421	Agnes Mordaunt
422	Agnes Stibbing
423	Agnes Vylavyle, widow
424	Agnes Whitwell
425	Agnes Wright
426	Agnes, Countess of Errol
427	Agnes, Lady Home
429	Agnus M'Connell of Dunaveg
433	Agostino Grafigna
435	Aguirre de Ugarte
436	Aignot
437	Aimerigo Bor Fanino
439	Alain de Chantrezac
440	Alamire
441	Alan Hawte
442	Alban Stepneth
443	Albanus Hylus
445	Alberico Gentile
447	Albert Archbishop of Mayence
448	Albert Baranovski
452	Albert Duke of Bavaria
453	Albert Duke of Mecklenburg
455	Albert Duke of Prussia
456	Albert Elector of Brandenburg
459	Albert Haberlandt
460	Albert Hardenberg
461	Albert Johansen
462	Albert Knapheus
467	Albert Marquis of Brandenburg
470	Albert Reynerson, master of the ship Angel Gabriel
471	Albert de Prato
478	Alberto Baranoviski
479	Alberto Fantoni
481	Albertus Pighius
483	Albrecht Janhen
484	Alcalde of Ferrol
485	Alcazar de Villa Senor
487	Alderman &#x0026
489	Alderman Anthony Radclyff
490	Alderman Banning
492	Alderman Brandon
500	Alderman John More
501	Alderman Kympton
502	Alderman Leonard Hollyday
503	Alderman Lionel Duckett
509	Alderman Richard Martin
513	Alderman Rowe
515	Alderman Starkye
520	Alderman and Brethren of Hartlepool
522	Alderman of Our Lady's Guild at Boston
528	Aldermen, &amp;c. of Grantham
530	Aldersay
532	Aleander, Cardinal of Brindisi
534	Alen Horde
537	Alessandro Citolino
538	Alessandro Farnese, Duke of Parma
539	Alessandro de la Torre
540	Alessandro del Bene
541	Alex Maynarde
542	Alex, Turnbull
543	Alex. Abbot of Cambuskenneth
545	Alex. Boyde
546	Alex. Brand, Vicar of Evan
547	Alex. Cardinal Caesarinus
548	Alex. De Neronibus, Master of the Hospital of Santo Spirito
549	Alex. Frognall
550	Alex. Hatfeld
555	Alex. Marsh
557	Alex. Spragutt
559	Alex. Stuart of Garlies and John Gordon of Lochinvar
560	Alex. White
562	Alex. de Bucht
564	Alex. lord Home
566	Alexander (?) Teregli
567	Alexander (or Sandy) Hays
568	Alexander (sic) Duke of Albany, Governor and Viceroy of Scotland
569	Alexander Alesius
570	Alexander Armstrong of Morton
571	Alexander Avenon, and Others
572	Alexander Aylmer
573	Alexander Barlow
574	Alexander Bonus
575	Alexander Bonvisi and the Company of Antwerp
576	Alexander Bret
577	Alexander Brystow
580	Alexander Brywer, Mayor of Waterford
583	Alexander Carragh M'Donnell
584	Alexander Carvanell
585	Alexander Citolini
587	Alexander Clark, Provost of Edinburgh
590	Alexander Cosbye
591	Alexander Cotes
592	Alexander Covert
593	Alexander Craik, Bishop of Kildare
594	Alexander Cunningham, Earl of Glencairn
595	Alexander Dan
596	Alexander Deacon
597	Alexander Dickson
598	Alexander Douglas
599	Alexander Dubdale
600	Alexander Dyer
601	Alexander Finet
602	Alexander Fisher
603	Alexander Fitton of the Bective
604	Alexander Fitzgerald Bishop of St. Dominick
605	Alexander Forth, or Matthew Markland
606	Alexander Frumentus
607	Alexander Gordon, Bishop of Galloway
608	Alexander Hampden
609	Alexander Hartley
610	Alexander Hay
611	Alexander Home (Hume), (5th) Lord Home
612	Alexander Home (Hume), Earl of Home
614	Alexander Home (Hume, of Manderston)
616	Alexander Horden
617	Alexander Jardine
618	Alexander Ketyng
620	Alexander King, auditor
622	Alexander Kittaghe M'Donnell
624	Alexander Kyngorne, Ambassador of the King of Denmerk
625	Alexander Leslie of Balquharne
626	Alexander Longforde
628	Alexander Lynch
629	Alexander Lynzeo
630	Alexander Macmahon
631	Alexander Macquen
632	Alexander Mainwaringe
633	Alexander Mather
634	Alexander Morison
636	Alexander Norwood
638	Alexander Nowell
641	Alexander Og MacDonnell
642	Alexander Popham
644	Alexander Pringle
646	Alexander Radclyff
648	Alexander Rigby
649	Alexander Seton
650	Alexander Skynner
651	Alexander Southaicke
652	Alexander Sovigo
653	Alexander Spiis, Chancellor
654	Alexander Staples
656	Alexander Storye
657	Alexander Wayte
658	Alexander Weller
659	Alexander Welles and jurats
660	Alexander Whitlaw
662	Alexander Wode
